"timeMillisSpent","usedMemory","maxMemory"
112005,171263288,4173332480
113000,53524656,4173332480
114004,324064112,4173332480
115004,218551912,4173332480
116005,111245864,4173332480
117000,366578568,4173332480
118010,241811496,4173332480
119001,128942392,4173332480
120000,376052256,4173332480
121010,287822136,4173332480
122018,121653352,4173332480
123001,337123584,4173332480
124053,202034872,4173332480
125007,354090944,4173332480
126019,142675048,4173332480
127001,300494440,4173332480
128005,151215720,4173332480
129005,286503016,4173332480
130013,108262504,4173332480
131003,341800544,4173332480
132031,201079400,4173332480
133001,57972328,4173332480
134003,326699112,4173332480
135004,205992904,4173332480
136005,96870520,4173332480
137000,352001336,4173332480
138002,242289832,4173332480
139006,140432144,4173332480
140019,413598488,4173332480
141003,295815400,4173332480
142013,191331744,4173332480
143001,87014296,4173332480
144020,373449200,4173332480
145002,248520776,4173332480
146000,135985304,4173332480
147008,369679464,4173332480
148001,230901448,4173332480
149014,102823304,4173332480
150016,376157496,4173332480
151000,168392200,4173332480
152007,387574888,4173332480
153001,280785464,4173332480
154001,63221152,4173332480
155032,144330624,4173332480
156008,335343240,4173332480
157024,191707656,4173332480
158002,310054504,4173332480
159005,190009960,4173332480
160057,98266056,4173332480
161007,305368128,4173332480
162008,166090808,4173332480
163030,57421376,4173332480
164013,308198968,4173332480
165003,187467104,4173332480
166002,59045480,4173332480
167012,325905304,4173332480
168005,208651176,4173332480
169010,93679136,4173332480
170029,360023032,4173332480
171002,229661976,4173332480
172000,113807760,4173332480
173005,382631016,4173332480
174005,277267560,4173332480
175007,163502240,4173332480
176005,50432920,4173332480
177002,317679208,4173332480
178023,211408952,4173332480
179015,108499296,4173332480
180000,262811360,4173332480
181001,134740400,4173332480
182003,375399232,4173332480
183002,160018824,4173332480
184001,289378488,4173332480
185016,148706696,4173332480
186016,370343528,4173332480
187004,113206992,4173332480
188007,360175352,4173332480
189000,149807488,4173332480
190000,393980520,4173332480
191027,225999208,4173332480
192000,88879720,4173332480
193050,369904744,4173332480
194008,230612488,4173332480
195000,115958568,4173332480
196000,374818552,4173332480
197006,275175896,4173332480
198004,148839448,4173332480
199005,394742536,4173332480
200007,292016744,4173332480
201005,163558824,4173332480
202030,56117864,4173332480
203002,301999264,4173332480
204004,205191304,4173332480
205065,137410512,4173332480
206000,365646920,4173332480
207000,253985336,4173332480
208000,145313112,4173332480
209018,55154304,4173332480
210015,304890104,4173332480
211002,173693032,4173332480
212022,251278856,4173332480
213001,93491744,4173332480
214000,318203400,4173332480
215021,158165648,4173332480
216000,279811328,4173332480
217010,138123880,4173332480
218002,359527344,4173332480
219000,144588936,4173332480
220000,395045256,4173332480
221028,227454808,4173332480
222007,80151184,4173332480
223015,331133104,4173332480
224013,223840384,4173332480
225000,103650408,4173332480
226004,371550504,4173332480
227003,250626752,4173332480
228026,162918720,4173332480
229021,410916104,4173332480
230000,289985280,4173332480
231003,188292448,4173332480
232009,61031920,4173332480
233002,320940648,4173332480
234002,196701800,4173332480
235001,85028016,4173332480
236000,355065960,4173332480
237011,249158488,4173332480
238013,137877624,4173332480
239003,396146696,4173332480
240002,290088424,4173332480
241002,187869192,4173332480
242017,82521704,4173332480
243007,343084440,4173332480
244002,237220968,4173332480
245002,59649384,4173332480
246003,229149944,4173332480
247000,106710632,4173332480
248004,282860112,4173332480
249014,410964280,4173332480
250000,177526376,4173332480
251011,402597600,4173332480
252014,157250480,4173332480
253006,347952744,4173332480
254001,222651656,4173332480
255002,77075712,4173332480
256008,324907248,4173332480
257009,211671192,4173332480
258006,88484816,4173332480
259000,352757864,4173332480
260000,240053352,4173332480
261008,137832552,4173332480
262010,402581320,4173332480
263001,287953464,4173332480
264002,188185880,4173332480
265003,88230432,4173332480
266003,362272912,4173332480
267010,256023016,4173332480
268016,146319464,4173332480
269012,405993000,4173332480
270000,286470728,4173332480
271003,180058104,4173332480
272009,67202664,4173332480
273008,338250008,4173332480
274000,216103600,4173332480
275002,405925480,4173332480
276001,292178536,4173332480
277004,173664648,4173332480
278001,414847192,4173332480
279002,314679728,4173332480
280013,216550800,4173332480
281001,96507072,4173332480
282003,352484640,4173332480
283002,256898488,4173332480
284012,159399664,4173332480
285000,416689256,4173332480
286002,304312608,4173332480
287003,194089064,4173332480
288014,97083864,4173332480
289022,351014264,4173332480
290004,248797496,4173332480
291000,400998808,4173332480
292020,278184112,4173332480
293013,105185192,4173332480
294011,295343280,4173332480
295000,408093288,4173332480
296002,240318008,4173332480
297003,78875240,4173332480
298017,180047576,4173332480
299009,62623544,4173332480
300000,289652176,4173332480
